log,split,E1,E1_consistent,E2,E2_consistent,E3,E3_consistent,E4,E4_consistent,E5,E5_consistent,E6,E6_consistent
Sepsis,random,-3.115023544953063,True,-0.19678323827909613,True,0.30486308320379785,False,1.6763236391749536,False,-0.03790946641667528,False,0.006249256629052627,False
BPIC2011,random,-8.302555416911035,True,-1.7463699640067951,True,-4.072745846901504,True,-2.129430958008497,True,-4.137405195104475,True,-0.10789281710206462,False
Production,random,-5.0518082808466085,True,0.03243267232812042,False,-3.3192439204803925,True,0.4466578211089726,False,-0.29776453812271964,False,0.22586885297932388,False
BPIC2017,random,-0.045287472389977185,False,-0.006035906234611736,False,-0.08297515117338715,True,-0.04467827042421513,False,-0.07323183865474954,False,-0.1109069092532338,True
Helpdesk,random,-0.8265824972776606,True,-0.4188942980554314,False,-0.28246884408178663,True,-0.524888194024849,True,-0.4797125072723029,True,-0.05614303364975368,False
BPIC2012-W,random,-0.43403852222844064,True,-0.0674936100272793,False,-0.9347972154527971,True,-0.4904942114022461,True,0.20739325276562867,False,0.018314759630401717,False
BPIC2012,random,0.05347048567524215,False,-0.023178027313448216,False,-0.4193224501619448,True,-0.1364947727052368,True,-1.2579091189775657,True,-7.199791297737383e-06,False
BPIC2020 Domestic Decl.,random,-0.6908026050056169,True,-0.3869700450587368,True,-1.0864016722020504,True,-0.3977036571606847,True,-0.5096899855356304,True,-0.05182392034867231,False
Road Traffic Fines,random,-4.213875610773903,True,-0.27934261780232006,True,-1.9424518698629452,True,-0.6255425899761337,True,-0.6796083705954855,False,-0.8400611084698203,True
Helpdesk (truncated),random,-0.6701239779727421,True,-0.26380689370761445,True,-4.619435557792296,True,-5.929959826514839,True,-0.7791480954635496,True,0.05987362425698974,False
Sepsis,temporal,51.7632570718825,False,-0.010031866491267749,False,1.2787802109511273,False,7.671530408010303,False,0.45427528823781443,False,-0.12152265414263991,True
BPIC2011,temporal,55.59703345488614,False,-1.7325960954331805,True,-4.972710588581258,True,-9.6208343837647,True,7.601305259310767,False,0.21691796937315425,False
Production,temporal,3.1343133643791172,False,0.24256379771252456,False,1.643504451773194,False,-16.881402510842374,True,0.6247522608101002,False,-0.2020603001064919,False
BPIC2017,temporal,0.284728361608905,False,-0.14032109052721675,False,0.35734321090812954,False,-0.2536634247878937,False,1.8849474661767598,False,0.060837969445616334,False
Helpdesk,temporal,2.1644931150363913,False,-0.41346656997066594,True,-0.9462441899679277,True,-1.103706176881411,True,1.4503990090770236,False,-0.09014543807692166,False
BPIC2012-W,temporal,10.683028575516603,False,-0.18883783268287666,True,-3.423942259383265,True,2.339952282062127,False,1.8908027560605782,False,-0.05857131085341243,False
BPIC2012,temporal,6.637955864448716,False,-0.007924682948469222,False,1.0822543826017754,False,1.1852675156170445,False,-1.59329486523709,True,-0.08302727075197944,False
BPIC2020 Domestic Decl.,temporal,0.14266421999825862,False,1.0101560984609412,False,0.18496504110992174,False,2.7665961985937266,False,-0.8808772325099891,True,0.08525449672361807,False
Road Traffic Fines,temporal,8.151377161905373,False,-0.41137444958481456,True,1.4560300283332595,False,0.7114595731740284,False,7.852189079500093,False,-2.1862437153784504,True
Helpdesk (truncated),temporal,1.4281240489577514,False,-0.05562108887309796,False,-3.3011516060698685,True,-13.919286196172616,True,0.4315623320932582,False,-0.0013233448413652153,False
